"Especie","longitude","latitude"
"AMZ_Alouatta_belzebul",-49.652238,-3.795483
"AMZ_Alouatta_belzebul",-48.889972,-5.756563
"AMZ_Alouatta_belzebul",-49.839525,-6.166422
"AMZ_Alouatta_belzebul",-49.94806,-6.15562
"AMZ_Alouatta_belzebul",-49.939159,-6.050186
"AMZ_Alouatta_belzebul",-46.69123525,-3.644943151
"AMZ_Alouatta_belzebul",-49.93333333,-4.46666666
"AMZ_Alouatta_belzebul",-47.660512,-7.07849
"AMZ_Alouatta_belzebul",-48.98333333,-2.3
"AMZ_Alouatta_belzebul",-48.58333333,-0.28333333
"AMZ_Alouatta_belzebul",-50.26480272,-1.81385194
"AMZ_Alouatta_belzebul",-45.26720105,-5.5970922
"AMZ_Alouatta_belzebul",-49.405818,-4.423258
"AMZ_Alouatta_belzebul",-47.437233,-1.771451
"AMZ_Alouatta_belzebul",-47.1,-1.55
"AMZ_Alouatta_belzebul",-47.586666,-6.997944
"AMZ_Alouatta_belzebul",-47.521344,-7.33221497
"AMZ_Alouatta_belzebul",-48.66666666,-6.41666666
"AMZ_Alouatta_belzebul",-44.803521,-2.036729
"AMZ_Alouatta_belzebul",-49.373007,-4.299873
"AMZ_Alouatta_belzebul",-47.14598052,-1.51706514
"AMZ_Alouatta_belzebul",-49.527178,-4.099657
"AMZ_Alouatta_belzebul",-49.67,-3.77
"AMZ_Alouatta_belzebul",-47.597641,-7.016653
"AMZ_Alouatta_belzebul",-47.41293537,-2.99514116
"AMZ_Alouatta_belzebul",-52.624983,-5.746867
"AMZ_Alouatta_belzebul",-47.31666666,-3
"AMZ_Alouatta_belzebul",-47.44895967,-0.76572199
"AMZ_Alouatta_belzebul",-47.48333333,-5.53333333
"AMZ_Alouatta_belzebul",-49.78,-4.32
"AMZ_Alouatta_belzebul",-48.16833333,-3.75888888
"AMZ_Alouatta_belzebul",-49.380991,-4.364583
"AMZ_Alouatta_belzebul",-46.75650157,-3.74174482
"AMZ_Alouatta_belzebul",-50.5,-5.83333333
"AMZ_Alouatta_belzebul",-47.783619,-6.839312
"AMZ_Alouatta_belzebul",-50.33,-3.83
"AMZ_Alouatta_belzebul",-46.75364377,-3.20624887
"AMZ_Alouatta_belzebul",-49.644652,-4.151724
"AMZ_Alouatta_belzebul",-49.822632,-4.270363
"AMZ_Alouatta_belzebul",-47.5135,-6.592267
"AMZ_Alouatta_belzebul",-47.628868,-7.065458
"AMZ_Alouatta_belzebul",-50.18195055,0.130830931
"AMZ_Alouatta_belzebul",-51.9,-3.6
"AMZ_Alouatta_belzebul",-47.630424,-6.665738
"AMZ_Alouatta_belzebul",-50,-5.25
"AMZ_Alouatta_belzebul",-52.38,-3.65
"AMZ_Alouatta_belzebul",-49.5,-1.18
"AMZ_Alouatta_belzebul",-49.64386422,-3.78644616
"AMZ_Alouatta_belzebul",-49.05129,-4.0907
"AMZ_Alouatta_belzebul",-49.62861212,-3.84140551
"AMZ_Alouatta_belzebul",-50,-6
"AMZ_Alouatta_belzebul",-49.53333333,-4.41666666
"AMZ_Alouatta_belzebul",-48.16833333,-3.75888888
"AMZ_Alouatta_belzebul",-49.16666666,-5.35
"AMZ_Alouatta_belzebul",-50.49786092,-5.69482197
"AMZ_Alouatta_belzebul",-49.913813,-6.058825
"AMZ_Alouatta_belzebul",-51.12481708,-10.22233103
"AMZ_Alouatta_belzebul",-51.1303988,-9.911134187
"AMZ_Alouatta_belzebul",-47.594898,-7.017744
"AMZ_Alouatta_belzebul",-49.11666666,-5.35
"AMZ_Alouatta_belzebul",-48.522125,-0.250075
"AMZ_Alouatta_belzebul",-49.45,-3.7
